Time Series(unit:MWh);BJ;TJ;HB;SX;NM;LN;JL;HL;SH;JS;ZJ;AH;FJ;JX;SD;HA;HB;HN;GD;GX;HI;CQ;SC;GZ;YN;XZ;SN;GS;QH;NX;XJ
47;15933.11568;9706.735416;47928.97873;27722.59219;38582.04152;28813.17242;9366.870056;11748.22232;17650.51684;68140.19252;46361.22257;26034.96944;25940.46826;19196.11207;64047.40058;42367.31946;25416.27965;24932.99965;64549.90814;21479.83834;3565.549404;12670.16675;30361.70498;21019.69892;21167.29131;994.2593961;22096.98863;15044.52204;8778.577089;10145.60384;31996.92335
48;14777.44059;9230.032951;45114.33405;26198.43987;37244.1634;27241.24155;8685.009699;10942.59608;16268.74869;64122.85056;44649.20295;24649.39147;25030.97365;16960.45496;61151.72206;39216.15014;23591.50228;23269.41951;62355.99885;19974.24403;2847.508582;11548.62657;28259.40092;19028.57501;19459.32499;894.7472594;20188.90658;14769.43949;8660.921124;9814.653906;31991.1937
49;13711.4125;8574.968326;40941.80601;24781.94056;36249.02812;26715.31761;8360.465644;10495.5391;15733.67867;64609.95095;42231.9712;23518.45779;21999.41505;14985.39507;66193.14225;39464.96484;22816.99381;24929.35043;61185.59707;16546.90897;4073.457974;12399.88142;24790.07172;16606.76603;16828.98372;778.7580347;19480.38161;14324.07106;8740.835286;9653.726378;31016.22987
50;13532.89013;8389.691118;40099.08543;24700.40358;35932.32408;25932.93052;8077.390943;10254.38217;14960.77404;63392.52041;40374.47724;22274.81033;21710.02573;15313.00487;64173.32892;38943.60252;21982.57973;19820.92193;57987.04825;15314.14772;3507.579163;11236.64904;23245.41101;15282.31375;16206.06097;701.8511705;18138.43659;13599.19002;8717.777248;9475.944589;30634.57302
51;13153.81089;8225.734571;38794.52943;23743.35191;35734.14897;25305.0851;7933.737752;10058.89932;14186.98182;61758.79354;38367.39283;21327.44982;20575.43706;13788.70006;62403.85287;36715.34231;21040.78405;17880.70589;55272.20018;14701.05434;2963.716145;10198.72156;22184.44628;14410.50918;15680.34388;677.0056449;17269.36351;13657.05571;8661.772821;9475.946414;30079.70878
52;12928.33808;8052.135895;38575.5868;23540.26065;35380.18412;25061.24956;7723.523157;9990.918878;13616.65302;59823.09582;36625.22021;20335.39122;19799.16979;12768.41157;60082.57226;34594.22153;19779.39002;16567.97044;53208.86236;13731.88692;2558.190471;9321.938592;21117.97553;14157.18811;15176.94849;641.9716621;16536.01423;13703.47592;8554.908517;9388.163913;29751.13577
53;12794.43051;8050.091928;38091.49854;23194.9362;35343.44178;25077.90678;7876.095029;10096.10541;13352.99688;58611.00945;35601.62486;19567.91107;18881.6832;11912.36176;58793.50906;32666.0109;18781.94537;15297.82094;50423.16917;13100.83847;2236.990179;8776.180703;20503.35935;14062.64188;15208.24245;631.9327734;15841.86815;13507.98402;8641.814364;9262.646454;29622.14017
54;12852.92088;7958.3005;37816.27556;23340.14776;35638.40448;25092.12204;8395.54691;11032.65192;13348.17593;58409.19625;35439.50955;19152.88521;18226.66442;11217.7104;58775.7375;31857.64603;18233.05015;14334.24645;49116.10436;12791.94463;2128.093224;8396.617547;20650.28977;14317.22258;14914.09773;601.8501726;15467.18136;13240.71339;8693.620401;9260.869266;29509.77808
55;12885.41329;8228.729417;39399.57515;23982.12822;36569.41245;26431.71883;9467.92146;12530.69323;13557.69791;59812.06454;36448.24461;19442.5818;18885.98202;11579.76156;61150.4803;32644.03973;17874.48581;14334.03188;48547.78829;13338.75453;2236.608847;8206.768365;20591.5136;14829.17496;15562.48306;627.5562694;15594.28512;13775.18181;8700.840891;9402.533005;29627.66644
56;13884.05024;8781.025632;40844.99633;25506.82686;37268.21524;27047.75137;9797.35756;12939.17063;14609.71542;60843.04747;39339.06252;19568.86735;18893.80065;11387.34521;62972.61792;34241.30007;18052.48158;15588.33928;49580.84745;14939.3076;2426.87983;8266.019168;20539.45006;17082.33187;17190.26272;681.1833539;16425.0901;14770.90988;9095.850664;9464.9069;29714.87656
57;15082.38022;9580.657753;42033.10983;25038.426;37057.38349;26807.38668;10120.07188;12981.81891;17155.01374;66201.66168;47554.57568;20729.02408;20503.34639;12031.10716;65887.53209;34554.43861;19181.16502;17330.55306;57045.4255;16039.80929;2743.761983;9366.928921;21285.92445;19973.95157;19141.10913;799.4801618;17278.43845;14837.00495;8947.720336;9168.687286;30191.60398
58;16452.76673;10682.94621;46023.49953;25684.96715;37536.98786;28627.76593;10787.47626;13223.99322;20176.24041;72730.63138;52978.65044;22348.41957;23432.62333;15498.98898;69886.21051;36771.61112;22330.9248;20652.57869;69899.77574;19058.13754;3637.544691;11708.20814;25528.06611;22533.94613;21394.20776;887.3584057;19164.71225;14914.66372;8955.02483;9404.836164;30757.83766
59;17081.68625;11085.67871;48088.45706;26560.00053;37984.89133;29741.20286;11157.153;13596.01971;21352.28899;77206.67091;55816.36114;24110.29281;26043.98733;17490.49159;72836.51166;40407.68757;24072.66366;23607.95347;73892.39811;20691.53237;4295.760747;12950.54552;28061.38103;23495.49778;22819.27101;954.9371649;20642.54819;15253.12021;8483.753752;9337.924045;30965.80088
60;17410.93903;11479.73647;50731.66142;27964.91171;38793.83414;29730.77711;11330.3529;14416.41297;21719.00361;78595.863;54910.60324;25896.31368;28130.59606;19263.86538;75174.70086;44308.64361;25423.51363;26111.58513;76420.6415;21784.92196;4181.788025;13802.49869;30638.90306;24328.4478;23169.77807;987.8641906;22107.10612;15466.23844;8638.762418;9404.605904;31600.98844
